Id,SalePrice
1461,131546.17706822025
1462,163071.53624077476
1463,183504.70506777693
1464,184673.4211163962
1465,200288.2473625383
1466,172689.65190886654
1467,169024.83010965484
1468,168151.3742228603
1469,178742.49746833043
1470,121605.36909833123
1471,178478.67710587452
1472,101732.93581009016
1473,91133.11129074197
1474,145208.94923988232
1475,133463.36110989138
1476,349152.92061910924
1477,255821.88972040766
1478,298503.86367720686
1479,330554.2484951014
1480,395830.39257897827
1481,333571.31730504375
1482,204810.55162307218
1483,177296.53832418483
1484,171364.71433619928
1485,168628.46000748617
1486,188979.4993075973
1487,332625.75488649326
1488,240499.48320741818
1489,196909.66219815917
1490,198266.41161881894
1491,186271.48812002747
1492,102245.04737680737
1493,178947.2953088395
1494,286594.82799539604
1495,286508.0758176601
1496,232306.95443538585
1497,183849.03149403707
1498,158123.33619083534
1499,156936.00700017682
1500,148328.3717326929
1501,164405.63592854585
1502,158588.45318291997
1503,271816.48704843776
1504,228884.14846239588
1505,214868.40058217422
1506,190733.74280031002
1507,224508.838816241
1508,186030.27024428186
1509,161589.03867370845
1510,148113.09815828197
1511,152082.48967195774
1512,165981.34227887788
1513,142885.55899655912
1514,162745.3834980319
1515,179517.69034888
1516,157602.34246765944
1517,162245.43393718652
1518,138369.91413438757
1519,219957.92806498232
1520,128625.11778987912
1521,142290.02163916122
1522,149539.24918053485
1523,115362.26434605001
1524,126671.18059855513
1525,138882.637558658
1526,130020.35527311533
1527,109488.92661408921
1528,140611.5899150248
1529,141994.194277579
1530,170780.2604391935
1531,107225.76989478976
1532,91160.27554142663
1533,148237.26686566844
1534,119503.68579027042
1535,155521.16496685875
1536,114502.01679889615
1537,64918.4396767114
1538,172352.19128720032
1539,174344.95419339606
1540,96397.01397725436
1541,142524.40534603593
1542,139718.10985212604
1543,207034.72298555358
1544,92896.99192764671
1545,118321.60619982949
1546,119410.02889971028
1547,135067.78302473182
1548,134679.53867249493
1549,115305.76993938623
1550,124295.44801649498
1551,102711.43171198945
1552,120375.5673249844
1553,153363.96030558264
1554,121841.22266098912
1555,176184.94261330427
1556,117606.7201381478
1557,128086.39121189738
1558,100649.9622473612
1559,98827.98100283807
1560,145314.18979049078
1561,139336.68165582407
1562,138208.73547744824
1563,119930.66725317307
1564,155263.34610425276
1565,137408.14437217452
1566,225476.85225579815
1567,71579.38082816785
1568,195214.28887617498
1569,130531.81552218697
1570,141220.44880058704
1571,119353.20837936761
1572,150598.87148022885
1573,238545.82829652165
1574,122747.68051829652
1575,220807.53343091323
1576,228843.074869498
1577,198809.91109156844
1578,152099.7913795813
1579,153076.000056254
1580,188327.0790850932
1581,152353.0775555451
1582,127532.81131724082
1583,253524.8294982113
1584,212975.33392766555
1585,141806.324229643
1586,81042.05210013992
1587,104401.15513709647
1588,140606.79785806427
1589,114351.38573865188
1590,134333.6492489992
1591,109477.31461564788
1592,138530.52937458453
1593,126985.76088715656
1594,140067.97231607686
1595,123138.3960386293
1596,227451.40751645135
1597,193344.7281631257
1598,200993.06739757114
1599,169844.9306448042
1600,173399.44906845724
1601,56754.98750290172
1602,112869.56142476668
1603,93816.25490110654
1604,254444.92968083645
1605,247909.93254895008
1606,162213.74470012065
1607,170866.13330283557
1608,221125.88863532094
1609,195245.75904041424
1610,145415.0875847712
1611,145052.01630876787
1612,176953.71898252872
1613,158874.67654359402
1614,117967.32352470828
1615,85166.78739533904
1616,72190.22495258693
1617,91513.40354993368
1618,136047.32736487515
1619,152805.2615843245
1620,163067.8461164372
1621,133936.18602047663
1622,157363.9725868907
1623,237935.01622065212
1624,197853.04447171386
1625,121495.20425693503
1626,157648.4032576876
1627,171970.57662314075
1628,265827.18852143415
1629,182873.43135259254
1630,348533.44892412267
1631,209339.03737416217
1632,246618.07691937283
1633,167903.82243282924
1634,185915.48271562078
1635,176178.77942459457
1636,158164.53327085476
1637,191253.7438169692
1638,218286.2449670139
1639,178621.43369339747
1640,237145.31954646835
1641,172698.10028342763
1642,211954.6813502179
1643,220218.08260339737
1644,237261.41412064308
1645,173305.9932220565
1646,154593.4672831082
1647,162594.1489276192
1648,143078.77537601115
1649,145138.1081354051
1650,127223.57962864904
1651,134052.12628240976
1652,97436.50135645877
1653,104079.44315987513
1654,146708.7975516359
1655,135516.56455495133
1656,142091.2820558731
1657,147099.9710033162
1658,152999.8675246032
1659,126244.54906110474
1660,154224.40433632926
1661,384522.74980661506
1662,419668.0176250707
1663,372271.8048703116
1664,390546.82402889105
1665,311426.7217182912
1666,296363.1794421581
1667,348659.67273739557
1668,329289.2653351859
1669,311735.599452455
1670,341440.17936034256
1671,233204.19108335915
1672,390185.77738928364
1673,291840.9319523658
1674,232596.35014481028
1675,178957.4105129332
1676,180383.80718873758
1677,212462.2346884971
1678,376446.5485654163
1679,382754.8477062377
1680,337458.9709411627
1681,265972.52758004924
1682,305278.5592325992
1683,194521.0128314182
1684,164761.85478577044
1685,164013.359967679
1686,180518.1950796564
1687,164893.9441819008
1688,187441.56877087467
1689,182146.34957220638
1690,182547.1190335232
1691,169394.19287052733
1692,278770.1072173308
1693,164285.7597268278
1694,167854.39026548094
1695,165720.24923403756
1696,245182.15208620214
1697,158013.81186313933
1698,347392.5271579894
1699,282109.81727686204
1700,235791.51065027292
1701,272118.8853201738
